Plant	Family
Origanum vulgare (Oregano)	Lamiaceae
Rheum rhabarbarum (Rhubarb or garden rhubarb)	Polygonaceae
Curcuma aromatica (Wild Turmeric)	Zingiberaceae
Melissa officinalis (Lemon Balm)	Lamiaceae
Artemisia annua (Sweet Wormwood)	Asteraceae
Rubus fruticosus (Blackberry)	Rosaceae
Armoracia rusticana (Horseradish)	Brassicaceae
Foeniculum vulgare (Fennel)	Apiaceae
Arnica montana (Arnica)	Asteraceae
Salvia miltiorrhiza (Red Sage)	Lamiaceae
Prunus avium (Sweet Cherry)	Rosaceae
Citrus unshiu (Satsuma Mandarin)	Rutaceae
Mentha piperita (Peppermint)	Lamiaceae
Tanacetum parthenium (Feverfew)	Asteraceae
Cannabis sativa (Marijuana)	Cannabaceae
Arnica montana	Asteraceae
Curcuma longa (Turmeric)	Zingiberaceae
Brassica oleracea (Broccoli)	Brassicaceae
Rosmarinus officinalis (Rosemary)	Lamiaceae
Citrus limon (Lemon)	Rutaceae
Cannabis sativa (Hemp)	Cannabaceae
Berberis vulgaris (Barberry)	Berberidaceae
Rheum palmatum (Rhubarb)	Polygonaceae
Allium sativum (Garlic)	Amaryllidaceae
Syzygium aromaticum (Clove)	Myrtaceae
Cicer arietinum (Chickpea)	Fabaceae
Humulus lupulus (Hops)	Cannabaceae
Citrus reticulata (Mandarin)	Rutaceae
Solanum lycopersicum (Tomato)	Solanaceae
Dimocarpus longan (Longan)	Sapindaceae
Achillea millefolium (Yarrow)	Asteraceae
Euphorbia peplus (Petty Spurge)	Euphorbiaceae
Thymus vulgaris (Thyme)	Lamiaceae
Citrus sinensis (Orange)	Rutaceae
Sophora flavescens	Fabaceae
Psidium guajava (Guava)	Myrtaceae
Citrus reticulata (Mandarin Orange)	Rutaceae
Rubus idaeus (Raspberry)	Rosaceae
Citrus aurantium (Bitter Orange)	Rutaceae
Polygonum cuspidatum (Japanese Knotweed)	Polygonaceae
Melaleuca alternifolia (Tea Tree)	Myrtaceae
Citrus limetta (Sweet Lime)	Rutaceae
Echinacea purpurea (Purple Coneflower)	Asteraceae
Centella asiatica (Gotu Kola)	Asteraceae
Citrus paradisi (Grapefruit)	Rutaceae
Origanum majorana (Marjoram)	Lamiaceae
Zingiber officinale (Ginger)	Zingiberaceae
Matricaria chamomilla (Chamomile)	Asteraceae
Morus alba (White Mulberry)	Moraceae
Anethum graveolens (Dill)	Apiaceae
Barringtonia racemosa (Common Putat)	Lecythidaceae
Alpinia Conchigera (Wild ginger)	Zingiberaceae
Ruta graveolens (Rue)	Rutaceae
Rubus idaeus (Red Raspberry)	Rosaceae
Coriandrum sativum (Coriander)	Apiaceae
Salvia officinalis (Sage)	Lamiaceae
Mentha spicata (Spearmint)	Lamiaceae
Nepeta sintenisii Bornm.	Lamiaceae
Salvia chinensis (Chinese sage)	Lamiaceae
Tagetes erecta (Marigold)	Asteraceae
Citrus sinensis (Sweet Orange)	Rutaceae
Lavandula angustifolia (Lavender)	Lamiaceae
Grifola frondosa	Meripilaceae
Taraxacum officinale (Dandelion)	Asteraceae
Alpinia officinarum (Lesser Galangal)	Zingiberaceae
Achyranthes aspera (chaff-flower, prickly chaff flower, devil's horsewhip)	Amaranthaceae
Dictyopteris undulata	Dictyotaceae
Dendrobium microspermae (Orchid)	Orchidaceae
"Cannabis sativa 	(cannabis, hemp, Indian hemp, marihuana, and marijuana)"	Cannabaceae
Vitis aestivalis hybrid (Summer grape)	Vitaceae
Xylopia aethiopica (Negro pepper, African pepper, Guinea pepper, Spice tree, Ethiopian pepper)	Annonaceae
Sorghum (Jowar, cholam, or jonna)	Poaceae
Panax notoginseng (Burk.) F.H. Chen (Sanqi or tianqi)	Araliaceae
Cistanche deserticola (Desert broomrape)	Orobanchaceae
Prunus mume ( Chinese plum, Japanese plum, and Japanese apricot)	Rosaceae
Solanum lyratum (lyreleaf nightshade)	Solanaceae
Onopordum cynarocephalum (Artichoke Cotton-thistle)	Asteraceae
Eleutherine palmifolia (Dayak onion)	Iridaceae
Asparagus officinalis (Sparrow grass)	Asparagaceae
Phyllanthus emblica L. (Amla or Indian gooseberry)	Phyllanthaceae
Vigna mungo (Black lentil)	Fabaceae
Graptopetalum paraguayense (Ghost plant or jade plant)	Crassulaceae
Butea monosperma ( flame-of-the-forest, dhak, palash, and bastard teak)	Leguminosae
Rehmannia glutinosa (Chinese foxglove)	Scrophulariaceae
Phoenix dactylifera L. (Date palm)	Arecaceae
Melia toosendan (chinaberry tree, pride of India, bead-tree, Cape lilac, syringa berrytree, Persian lilac, Indian lilac, or white cedar)	Meliaceae
Crocus sativus L. (Saffron crocus)	Iridaceae
Malus domestica (Apple)	Rosaceae
Prunus persica (Peach)	Rosaceae
Luffa echinata (Bitter Luffa Bitter Sponge Gourd Bristly Luffa Rag Gourd)	Cucurbitaceae
Kaempferia galanga (Aromatic Ginger)	Zingiberaceae
Vitis vinifera (Common grape)	Vitaceae
Glycine max (Soybean)	Leguminosae
Camellia sinensis (Green tea)	Theaceae
Olea europaea (Olive)	Oleaceae
Punica granatum (Pomegranate)	Lythraceae
Glycyrrhiza glabra (Licorice)	Fabaceae
Opuntia ficus-indica (prickly pear, cactus pear, Barbary fig, cactus fruit, Indian fig, or Nopal cactus)	Cactaceae
Piper betle (Betel, Betel Vine, Betel Pepper, Betle Pepper, Pan, Sireh)	Piperaceae
 Sasa quelpaertensis (Jeju Jori, dwarf bamboo or Jeju-Joritdae)	Poaceae
